Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,10uF,
"C2, C3",0603,2,10nF,
C4,1206,1,220uF,
D1,DO-214AC,1,B340A,B340A-13-F
D2,0805,1,5V LED,
J1,Hirose_DF13-02P-1.25DS_1x02_P1.25mm_Horizontal,1,From Battery,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Extra Header,
J3,Hirose_DF13-02P-1.25DS_1x02_P1.25mm_Horizontal,1,ESC Logic Power,
J4,Hirose_DF13-02P-1.25DS_1x02_P1.25mm_Horizontal,1,Flight Controller Power,
L1,L_Taiyo-Yuden_NR-50xx_HandSoldering,1,18uH,
R1,0805,1,100k,
R2,0805,1,18k,
"R3, R5",0603,2,10k,
R4,0603,1,3.24k,
TP1,TestPoint_Pad_1.0x1.0mm,1,Per datasheet,
TP2,TestPoint_Pad_1.0x1.0mm,1,+5V,
U1,TI_SO-PowerPAD-8_ThermalVias,1,TPS5430DDA,
