Designator,Footprint,Quantity,Value,LCSC Part #
C31,1206,1,10uF,
"C32, C34",0603,2,10nF,
C33,1206,1,220uF,
D3,0805,1,5V LED,
D4,DO-214AC,1,B340A,B340A-13-F
J18,Hirose_DF13-02P-1.25DS_1x02_P1.25mm_Horizontal,1,ESC Logic Power,
J19,Hirose_DF13-02P-1.25DS_1x02_P1.25mm_Horizontal,1,Flight Controller Power,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Extra Header,
J4,Hirose_DF13-02P-1.25DS_1x02_P1.25mm_Horizontal,1,From Battery,
L1,L_Taiyo-Yuden_NR-50xx_HandSoldering,1,18uH,
"R11, R12",0603,2,10K,
R13,0603,1,3.24k,
R14,0805,1,100k,
R15,0805,1,18k,
TP2,TestPoint_Pad_1.0x1.0mm,1,+5V,
TP6,TestPoint_Pad_1.0x1.0mm,1,Per datasheet,
U4,TI_SO-PowerPAD-8_ThermalVias,1,TPS5430DDA,
